transcriptId,jobId,L2 Clusters,L3 Intents,L1 Cluster,transcript_complexity,Complexity (score out of 10),resolution,resolutionDescription,transcriptId.1,clusteringOutput,addedOn,Complexity Bucket,Complexity_level_bucket,AHT (mins),Aht_bucket,Proposed_for_Automation,Proposed_of_automation,Proposed_,AHT_Level,Complexity_Level,AHT_Complexity_Segment,AHT_Intent_Alignment
696df4fd459d6714849b6fad,CXJ-960,audioQuality,serverIssue,serverFailure,7.4,7.66,issueEscalation,The agent escalated the issue to the technical team for resolution.,51,"[{'closest_other_cluster_name': 'hardwareFailure', 'cluster': 10, 'embedding_input': 'serverIssue:A server issue refers to a problem or malfunction occurring on the server side, affecting the performance or functionality of a service.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 12, 'distance_to_other_cluster': 0.556, 'umap_embedding': 'ComingSoon'}]",1768813821,Medium,2. Medium Complexity,12,2. Medium AHT,No,0,Volume - Rest,Low AHT,7.4,Low AHT | 7.4,Review
696df4fd459d6714849b6fae,CXJ-960,audioQuality,serverIssue,serverFailure,7.6,7.66,issueEscalation,The agent escalated the issue to the technical team for resolution.,76,"[{'closest_other_cluster_name': 'hardwareFailure', 'cluster': 10, 'embedding_input': 'serverIssue:Server issue refers to problems or malfunctions occurring on the server side, affecting the performance or functionality of services.', 'prob_cluster_belonging': 0.0, 'closest_other_cluster': 12, 'distance_to_other_cluster': 0.556, 'umap_embedding': 'ComingSoon'}]",1768813821,Medium,2. Medium Complexity,3,1. Low AHT,No,0,Volume - Rest,Low AHT,7.6,Low AHT | 7.6,Review
696df4fd459d6714849b6faf,CXJ-960,audioQuality,serverIssue,serverFailure,7.9,7.66,callQualityTest,The agent guided the customer through a call quality test to ensure the issue was resolved.,92,"[{'closest_other_cluster_name': 'hardwareFailure', 'cluster': 10, 'embedding_input': 'serverIssue:A server issue refers to a problem or malfunction occurring on the server side, affecting the performance or functionality of services.', 'prob_cluster_belonging': 0.0, 'closest_other_cluster': 12, 'distance_to_other_cluster': 0.556, 'umap_embedding': 'ComingSoon'}]",1768813821,Medium,2. Medium Complexity,13,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,7.9,Low AHT | 7.9,Review
696df4fd459d6714849b6fb0,CXJ-960,audioQuality,serverIssue,serverFailure,7.5,7.66,accountReset,The agent reset the customer's account to resolve the audio quality issue.,94,"[{'closest_other_cluster_name': 'hardwareFailure', 'cluster': 10, 'embedding_input': 'serverIssue:A server issue refers to a problem or malfunction occurring on the server side, which can affect the performance and quality of services provided to users.', 'prob_cluster_belonging': 0.0, 'closest_other_cluster': 12, 'distance_to_other_cluster': 0.556, 'umap_embedding': 'ComingSoon'}]",1768813821,Medium,2. Medium Complexity,17,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,7.5,Low AHT | 7.5,Review
696df4fd459d6714849b6fb1,CXJ-960,softwareIssue,softwareCrash,softwareConflict,6.4,6.65,workaroundProvided,The agent provided a temporary workaround to the customer until the patch is released.,5,"[{'closest_other_cluster_name': 'softwareFreezing', 'cluster': 7, 'embedding_input': 'softwareCrash:Software crash refers to a situation where a software application stops functioning and closes unexpectedly.', 'prob_cluster_belonging': 0.4364070081770719, 'closest_other_cluster': 8, 'distance_to_other_cluster': 0.3929, 'umap_embedding': 'ComingSoon'}]",1768813821,Low,1. Low Complexity,5,2. Medium AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,6.4,Low AHT | 6.4,Review
696df4fd459d6714849b6fb2,CXJ-960,audioIssue,softwareConflict,softwareConflict,6.7,6.65,issueEscalation,The agent escalated the issue to the advanced technical support team for further assistance.,24,"[{'closest_other_cluster_name': 'softwareFreezing', 'cluster': 7, 'embedding_input': 'softwareConflict:Software conflict refers to issues that arise when newly installed software interferes with existing system drivers or applications, causing malfunctions.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 8, 'distance_to_other_cluster': 0.3929, 'umap_embedding': 'ComingSoon'}]",1768813821,Low,1. Low Complexity,4,1. Low AHT,No,0,Volume - Rest,Low AHT,6.7,Low AHT | 6.7,Review
696df4fd459d6714849b6fb3,CXJ-960,softwareIssue,pluginConflict,softwareConflict,6.600000000000001,6.65,pluginDisabled,The agent disabled the conflicting plugin to resolve the software freezing issue.,45,"[{'closest_other_cluster_name': 'softwareFreezing', 'cluster': 7, 'embedding_input': 'pluginConflict:Plugin conflict refers to a situation where a software plugin causes issues or malfunctions within the main application, often due to incompatibility or errors.', 'prob_cluster_belonging': 0.4754221735620142, 'closest_other_cluster': 8, 'distance_to_other_cluster': 0.3929, 'umap_embedding': 'ComingSoon'}]",1768813821,Low,1. Low Complexity,15,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,6.600000000000001,Low AHT | 6.600000000000001,Review
696df4fd459d6714849b6fb4,CXJ-960,softwareIssue,softwareConflict,softwareConflict,6.899999999999999,6.65,disableAntivirus,The agent instructed the customer to disable the antivirus software to resolve the conflict.,71,"[{'closest_other_cluster_name': 'softwareFreezing', 'cluster': 7, 'embedding_input': ""softwareConflict:Software conflict refers to a situation where two or more software programs interfere with each other's operation, causing issues such as freezing or crashing."", 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 8, 'distance_to_other_cluster': 0.3929, 'umap_embedding': 'ComingSoon'}]",1768813821,Low,1. Low Complexity,7,2. Medium AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,6.899999999999999,Low AHT | 6.899999999999999,Review
696df4fd459d6714849b6fb5,CXJ-960,hardwareIssue,keyboardScreenMalfunction,keyboardMalfunction,6.3,6.15,issueEscalation,The agent escalated the issue to a supervisor for further assistance and resolution.,6,"[{'closest_other_cluster_name': 'hardwareFailure', 'cluster': 13, 'embedding_input': 'keyboardScreenMalfunction:Keyboard and screen malfunction refers to issues where the keyboard is unresponsive and the screen flickers, indicating potential hardware problems.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 12, 'distance_to_other_cluster': 0.3762, 'umap_embedding': 'ComingSoon'}]",1768813821,Low,1. Low Complexity,13,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,6.3,Low AHT | 6.3,Review
696df4fd459d6714849b6fb6,CXJ-960,keyboardIssue,keyboardMalfunction,keyboardMalfunction,6.0,6.15,driverUpdate,The agent guided the customer through updating the keyboard drivers to resolve the issue.,7,"[{'closest_other_cluster_name': 'hardwareFailure', 'cluster': 13, 'embedding_input': 'keyboardMalfunction:Keyboard malfunction refers to the improper functioning of a keyboard, where keys may not register or may register multiple times when pressed.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 12, 'distance_to_other_cluster': 0.3762, 'umap_embedding': 'ComingSoon'}]",1768813821,Low,1. Low Complexity,17,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,6.0,Low AHT | 6.0,Review
696df4fd459d6714849b6fb7,CXJ-960,touchpadIssue,hardwareIssue,hardwareFailure,7.7,7.37,issueEscalation,The issue was escalated to the advanced technical support team for further assistance.,11,"[{'closest_other_cluster_name': 'keyboardMalfunction', 'cluster': 12, 'embedding_input': 'hardwareIssue:A hardware issue refers to a malfunction or failure of a physical component in a device, such as a touchpad, that prevents it from functioning correctly.', 'prob_cluster_belonging': 0.0, 'closest_other_cluster': 13, 'distance_to_other_cluster': 0.3762, 'umap_embedding': 'ComingSoon'}]",1768813821,Medium,2. Medium Complexity,13,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,7.7,Low AHT | 7.7,Review
696df4fd459d6714849b6fb8,CXJ-960,batteryIssue,hardwareIssue,hardwareFailure,,7.37,replacementBattery,The agent is sending a replacement battery to the customer within 3-5 business days.,22,"[{'closest_other_cluster_name': 'keyboardMalfunction', 'cluster': 12, 'embedding_input': ""hardwareIssue:A hardware issue refers to a malfunction or defect in the physical components of a device, such as a phone's battery."", 'prob_cluster_belonging': 0.0, 'closest_other_cluster': 13, 'distance_to_other_cluster': 0.3762, 'umap_embedding': 'ComingSoon'}]",1768813821,Medium,2. Medium Complexity,5,1. Low AHT,No,0,Volume - Rest,Low AHT,Nan,Low AHT | Nan,Review
696df4fd459d6714849b6fb9,CXJ-960,keyboardIssue,hardwareIssue,hardwareFailure,,7.37,temporaryReplacement,The agent arranged for a temporary replacement laptop to be sent to the customer.,47,"[{'closest_other_cluster_name': 'keyboardMalfunction', 'cluster': 12, 'embedding_input': 'hardwareIssue:A hardware issue refers to a malfunction or failure in the physical components of a device, such as a keyboard.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 13, 'distance_to_other_cluster': 0.3762, 'umap_embedding': 'ComingSoon'}]",1768813821,Medium,2. Medium Complexity,15,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,Nan,Low AHT | Nan,Review
696df4fd459d6714849b6fba,CXJ-960,keyboardIssue,hardwareIssue,hardwareFailure,7.3,7.37,serviceRequest,The agent created a service request for repair or replacement of the keyboard.,63,"[{'closest_other_cluster_name': 'keyboardMalfunction', 'cluster': 12, 'embedding_input': 'hardwareIssue:A hardware issue refers to a malfunction or failure of a physical component within a device, such as a keyboard.', 'prob_cluster_belonging': 0.0, 'closest_other_cluster': 13, 'distance_to_other_cluster': 0.3762, 'umap_embedding': 'ComingSoon'}]",1768813821,Medium,2. Medium Complexity,5,1. Low AHT,No,0,Volume - Rest,Low AHT,7.3,Low AHT | 7.3,Review
696df4fd459d6714849b6fbb,CXJ-960,keyboardIssue,hardwareIssue,hardwareFailure,7.1,7.37,escalateSupport,The agent escalated the issue to the advanced technical support team for further assistance.,67,"[{'closest_other_cluster_name': 'keyboardMalfunction', 'cluster': 12, 'embedding_input': 'hardwareIssue:A hardware issue refers to a malfunction or failure in the physical components of a device, such as a keyboard, that prevents it from functioning correctly.', 'prob_cluster_belonging': 0.0, 'closest_other_cluster': 13, 'distance_to_other_cluster': 0.3762, 'umap_embedding': 'ComingSoon'}]",1768813821,Medium,2. Medium Complexity,7,2. Medium AHT,No,0,Volume - Rest,Low AHT,7.1,Low AHT | 7.1,Review
696df4fd459d6714849b6fbc,CXJ-960,keyboardIssue,hardwareIssue,hardwareFailure,7.4,7.37,repairOrderSetup,The agent set up a repair order to fix the customer's laptop keyboard issue.,88,"[{'closest_other_cluster_name': 'keyboardMalfunction', 'cluster': 12, 'embedding_input': 'hardwareIssue:A hardware issue refers to a malfunction or failure in the physical components of a device, such as a keyboard.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 13, 'distance_to_other_cluster': 0.3762, 'umap_embedding': 'ComingSoon'}]",1768813821,Medium,2. Medium Complexity,3,1. Low AHT,No,0,Volume - Rest,Low AHT,7.4,Low AHT | 7.4,Review
696df4fd459d6714849b6fbd,CXJ-960,keyboardIssue,hardwareIssue,hardwareFailure,7.6,7.37,repairOrderSetup,The agent set up a repair order for the customer's laptop and provided a prepaid return shipping label.,89,"[{'closest_other_cluster_name': 'keyboardMalfunction', 'cluster': 12, 'embedding_input': 'hardwareIssue:A hardware issue refers to a malfunction or failure in the physical components of a device, such as a keyboard.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 13, 'distance_to_other_cluster': 0.3762, 'umap_embedding': 'ComingSoon'}]",1768813821,Medium,2. Medium Complexity,17,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,7.6,Low AHT | 7.6,Review
696df4fd459d6714849b6fbe,CXJ-960,keyboardIssue,hardwareIssue,hardwareFailure,7.1,7.37,escalateSupport,The agent escalated the issue to the advanced technical support team for further assistance.,93,"[{'closest_other_cluster_name': 'keyboardMalfunction', 'cluster': 12, 'embedding_input': 'hardwareIssue:A hardware issue refers to a malfunction or failure in the physical components of a device, such as a keyboard.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 13, 'distance_to_other_cluster': 0.3762, 'umap_embedding': 'ComingSoon'}]",1768813821,Medium,2. Medium Complexity,4,1. Low AHT,No,0,Volume - Rest,Low AHT,7.1,Low AHT | 7.1,Review
696df4fd459d6714849b6fbf,CXJ-960,accountAccess,accountLock,accountAccess,7.1,6.83,passwordReset,The agent reset the customer's password and provided a temporary one for immediate access.,13,"[{'closest_other_cluster_name': 'screenDamage', 'cluster': 0, 'embedding_input': 'accountLock:Account lock refers to the restriction of access to an account due to multiple incorrect login attempts or other security reasons.', 'prob_cluster_belonging': 0.0, 'closest_other_cluster': 9, 'distance_to_other_cluster': 0.7184, 'umap_embedding': 'ComingSoon'}]",1768813821,Low,1. Low Complexity,8,2. Medium AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,7.1,Low AHT | 7.1,Review
696df4fd459d6714849b6fc0,CXJ-960,accountAccess,passwordReset,accountAccess,7.0,6.83,issueEscalation,The agent escalated the issue to the advanced technical support team for further assistance.,25,"[{'closest_other_cluster_name': 'screenDamage', 'cluster': 0, 'embedding_input': ""passwordReset:Password reset refers to the process of changing or resetting a user's password to regain access to their account."", 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 9, 'distance_to_other_cluster': 0.7184, 'umap_embedding': 'ComingSoon'}]",1768813821,Low,1. Low Complexity,8,2. Medium AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,7.0,Low AHT | 7.0,Review
696df4fd459d6714849b6fc1,CXJ-960,accountAccess,passwordReset,accountAccess,6.5,6.83,passwordReset,The agent reset the customer's password to resolve the access issue.,27,"[{'closest_other_cluster_name': 'screenDamage', 'cluster': 0, 'embedding_input': ""passwordReset:Password reset refers to the process of changing or updating a user's password to regain access to an account."", 'prob_cluster_belonging': 0.0, 'closest_other_cluster': 9, 'distance_to_other_cluster': 0.7184, 'umap_embedding': 'ComingSoon'}]",1768813821,Low,1. Low Complexity,15,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,6.5,Low AHT | 6.5,Review
696df4fd459d6714849b6fc2,CXJ-960,accountAccess,passwordReset,accountAccess,6.7,6.83,escalateSupport,The agent escalated the issue to the advanced technical support team for further assistance.,77,"[{'closest_other_cluster_name': 'screenDamage', 'cluster': 0, 'embedding_input': ""passwordReset:Password reset refers to the process of changing or resetting a user's password to regain access to their account."", 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 9, 'distance_to_other_cluster': 0.7184, 'umap_embedding': 'ComingSoon'}]",1768813821,Low,1. Low Complexity,7,2. Medium AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,6.7,Low AHT | 6.7,Review
696df4fd459d6714849b6fc3,CXJ-960,batteryReplacement,batteryWornOut,batteryDepletion,6.4,6.3,processReplacement,The agent processed the replacement order for a new battery to be delivered in 3-5 business days.,14,"[{'closest_other_cluster_name': 'batteryDegradation', 'cluster': 19, 'embedding_input': 'batteryWornOut:Battery worn out refers to the condition where a laptop battery has degraded over time and can no longer hold a sufficient charge.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 20, 'distance_to_other_cluster': 0.2503, 'umap_embedding': 'ComingSoon'}]",1768813821,Low,1. Low Complexity,2,1. Low AHT,No,0,Volume - Rest,Low AHT,6.4,Low AHT | 6.4,Review
696df4fd459d6714849b6fc4,CXJ-960,batteryIssue,batteryWornOut,batteryDepletion,6.1,6.3,replacementBattery,"The agent submitted a request for a replacement battery, with further instructions to follow via email.",15,"[{'closest_other_cluster_name': 'batteryDegradation', 'cluster': 19, 'embedding_input': ""batteryWornOut:Battery worn out refers to the condition where a phone's battery depletes rapidly due to aging or damage, requiring replacement."", 'prob_cluster_belonging': 0.9242913268803779, 'closest_other_cluster': 20, 'distance_to_other_cluster': 0.2503, 'umap_embedding': 'ComingSoon'}]",1768813821,Low,1. Low Complexity,10,2. Medium AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,6.1,Low AHT | 6.1,Review
696df4fd459d6714849b6fc5,CXJ-960,batteryIssue,batteryWornOut,batteryDepletion,6.4,6.3,sendCalibrationGuide,The agent will send a calibration guide to the customer to help address the battery issue.,35,"[{'closest_other_cluster_name': 'batteryDegradation', 'cluster': 19, 'embedding_input': ""batteryWornOut:Battery worn out refers to the natural degradation of a battery's capacity and performance over time due to regular use."", 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 20, 'distance_to_other_cluster': 0.2503, 'umap_embedding': 'ComingSoon'}]",1768813821,Low,1. Low Complexity,8,2. Medium AHT,Yes,1,Volume - Potential Transformation Opportunity,Low AHT,6.4,Low AHT | 6.4,Review
696df4fd459d6714849b6fc6,CXJ-960,audioRestoration,internetConnectionIssue,networkConnectivity,7.6,7.8,routerSignalReset,The agent sent a signal to reset the customer's router to improve audio quality.,16,"[{'closest_other_cluster_name': 'networkConnection', 'cluster': 21, 'embedding_input': 'internetConnectionIssue:Internet connection issue refers to problems with the stability or speed of the internet service, affecting the performance of connected devices.', 'prob_cluster_belonging': 0.9864881045385593, 'closest_other_cluster': 22, 'distance_to_other_cluster': 0.2892, 'umap_embedding': 'ComingSoon'}]",1768813821,Medium,2. Medium Complexity,11,2. Medium AHT,No,0,Volume - Rest,Low AHT,7.6,Low AHT | 7.6,Review
696df4fd459d6714849b6fc7,CXJ-960,connectionIssue,internetConnectionIssue,networkConnectivity,7.9,7.8,signalSent,The agent sent a signal to the customer's router to resolve the internet connection issue.,33,"[{'closest_other_cluster_name': 'networkConnection', 'cluster': 21, 'embedding_input': 'internetConnectionIssue:Internet connection issue refers to problems with accessing or maintaining a stable internet connection, which can result in slow speeds or complete loss of connectivity.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 22, 'distance_to_other_cluster': 0.2892, 'umap_embedding': 'ComingSoon'}]",1768813821,Medium,2. Medium Complexity,6,1. Low AHT,No,0,Volume - Rest,Low AHT,7.9,Low AHT | 7.9,Review
696df4fd459d6714849b6fc8,CXJ-960,routerSetup,internetConnectionIssue,networkConnectivity,7.9,7.8,routerConfiguration,The agent guided the customer through configuring the router settings to resolve the issue.,41,"[{'closest_other_cluster_name': 'networkConnection', 'cluster': 21, 'embedding_input': 'internetConnectionIssue:Internet connection issue refers to problems related to establishing or maintaining a stable internet connection.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 22, 'distance_to_other_cluster': 0.2892, 'umap_embedding': 'ComingSoon'}]",1768813821,Medium,2. Medium Complexity,5,1. Low AHT,No,0,Volume - Rest,Low AHT,7.9,Low AHT | 7.9,Review
