transcriptId,jobId,L3 Intents,L1 Cluster,L2 Clusters,transcript_complexity,Complexity (score out of 10),Complexity Bucket,Complexity_level_bucket,AHT (mins),Aht_bucket,Proposed_for_Automation,Proposed_of_automation,Proposed_,resolution,resolutionDescription,transcriptId.1,clusteringOutput,addedOn,L1 Clusters
695812dcc0cbb5cf7ac676a1,CXJ-927,monitoringInquiry,insuranceDiscount,insuranceDiscount,6.0,1.63,Low,1. Low Complexity,17,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,emailQuote,Agent will email the customer details about the starter package.,ADT-00101,"[{'closest_other_cluster_name': 'discountEligibility', 'cluster': 28, 'embedding_input': 'insuranceDiscount:Insurance discount refers to the reduction in insurance premiums offered by companies when a security system is professionally monitored.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 27, 'distance_to_other_cluster': 0.3383, 'umap_embedding': 'ComingSoon'}]",1767379676,Pricing & Discounts
695812dcc0cbb5cf7ac676a2,CXJ-927,billReduction,loyaltyCredit,loyaltyCredit,6.9,3.54,Low,1. Low Complexity,13,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,creditApplied,A $15 loyalty credit was applied to the customer's account for the next 12 months.,ADT-00031,"[{'closest_other_cluster_name': 'discountEligibility', 'cluster': 4, 'embedding_input': ""loyaltyCredit:Loyalty credit refers to a discount or credit applied to a customer's account as a reward for their continued patronage."", 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 27, 'distance_to_other_cluster': 0.5681, 'umap_embedding': 'ComingSoon'}]",1767379676,"Billing, Refunds & Credits"
695812dcc0cbb5cf7ac676a3,CXJ-927,rateUpdated,loyaltyCredit,loyaltyCredit,,3.54,Low,1. Low Complexity,11,2. Medium AHT,Yes,1,Volume - Potential Transformation Opportunity,discountApplied,"A $10 loyalty discount was applied to the customer's account, effective immediately.",ADT-00036,"[{'closest_other_cluster_name': 'discountEligibility', 'cluster': 4, 'embedding_input': 'loyaltyCredit:Loyalty credit refers to a discount or promotional offer provided to long-term customers as a reward for their continued patronage.', 'prob_cluster_belonging': 0.7581630114081712, 'closest_other_cluster': 27, 'distance_to_other_cluster': 0.5681, 'umap_embedding': 'ComingSoon'}]",1767379676,"Billing, Refunds & Credits"
695812dbc0cbb5cf7ac6761b,CXJ-927,contractCancellation,failedRepairs,hardwareMalfunction,8.7,9.09,High,3. High Complexity,3,1. Low AHT,No,0,Volume - Rest,contractTerminated,The agent processed the cancellation of the contract effective immediately without any fees.,ADT-00045,"[{'closest_other_cluster_name': 'alarmManagement', 'cluster': 18, 'embedding_input': 'failedRepairs:Failed repairs refer to multiple unsuccessful attempts to fix a recurring issue with a service or product.', 'prob_cluster_belonging': 0.7389774965795546, 'closest_other_cluster': 10, 'distance_to_other_cluster': 0.5577, 'umap_embedding': 'ComingSoon'}]",1767379675,Hardware & Sensor Issues
695812dbc0cbb5cf7ac6761c,CXJ-927,sensorFault,hardwareFault,hardwareMalfunction,8.9,9.09,High,3. High Complexity,12,2. Medium AHT,No,0,Volume - Rest,sensorBypassed,The agent remotely bypassed the faulty sensor to prevent it from triggering the alarm.,ADT-00074,"[{'closest_other_cluster_name': 'alarmManagement', 'cluster': 18, 'embedding_input': 'hardwareFault:A hardware fault refers to a malfunction or defect in the physical components of a device, causing it to operate incorrectly.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 10, 'distance_to_other_cluster': 0.5577, 'umap_embedding': 'ComingSoon'}]",1767379675,Hardware & Sensor Issues
695812dbc0cbb5cf7ac6761d,CXJ-927,sensorReplacement,hardwareFailure,hardwareMalfunction,9.0,9.09,High,3. High Complexity,3,1. Low AHT,No,0,Volume - Rest,technicianScheduled,A technician is scheduled to visit and replace the defective sensor on Thursday.,ADT-00092,"[{'closest_other_cluster_name': 'alarmManagement', 'cluster': 18, 'embedding_input': 'hardwareFailure:Hardware failure refers to a malfunction or defect in a physical component of a device, causing it to not operate as intended.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 10, 'distance_to_other_cluster': 0.5577, 'umap_embedding': 'ComingSoon'}]",1767379675,Hardware & Sensor Issues
695812dbc0cbb5cf7ac6761e,CXJ-927,billingCorrection,systemError,hardwareMalfunction,8.9,9.09,High,3. High Complexity,13,3. High AHT,No,0,Volume - Rest,refundProcessed,The agent processed a $15 refund to the customer's card on file.,ADT-00096,"[{'closest_other_cluster_name': 'alarmManagement', 'cluster': 18, 'embedding_input': 'systemError:A system error refers to a malfunction or glitch within the software or hardware that causes incorrect operations or billing.', 'prob_cluster_belonging': 0.8859735632466278, 'closest_other_cluster': 10, 'distance_to_other_cluster': 0.5577, 'umap_embedding': 'ComingSoon'}]",1767379675,Hardware & Sensor Issues
695812dbc0cbb5cf7ac6761f,CXJ-927,duplicateCharge,systemError,hardwareMalfunction,8.7,9.09,High,3. High Complexity,17,3. High AHT,No,0,Volume - Rest,creditIssued,A $60 credit was issued to the customer's account to correct the duplicate charge.,ADT-00132,"[{'closest_other_cluster_name': 'alarmManagement', 'cluster': 18, 'embedding_input': 'systemError:A system error refers to a malfunction or unintended operation within a software or hardware system that leads to incorrect outcomes.', 'prob_cluster_belonging': 0.937235999892366, 'closest_other_cluster': 10, 'distance_to_other_cluster': 0.5577, 'umap_embedding': 'ComingSoon'}]",1767379675,Hardware & Sensor Issues
695812dbc0cbb5cf7ac67620,CXJ-927,chargeDispute,faultyInstallation,hardwareMalfunction,9.1,9.09,High,3. High Complexity,5,1. Low AHT,No,0,Volume - Rest,refundProcessed,The agent processed a refund to the customer's card for the disputed charge.,ADT-00139,"[{'closest_other_cluster_name': 'alarmManagement', 'cluster': 18, 'embedding_input': 'faultyInstallation:Faulty installation refers to an incorrect or substandard setup of equipment or services, leading to operational issues.', 'prob_cluster_belonging': 0.7578560987712044, 'closest_other_cluster': 10, 'distance_to_other_cluster': 0.5577, 'umap_embedding': 'ComingSoon'}]",1767379675,Hardware & Sensor Issues
695812dbc0cbb5cf7ac67621,CXJ-927,cameraRepair,sensorStuck,hardwareMalfunction,9.2,9.09,High,3. High Complexity,4,1. Low AHT,No,0,Volume - Rest,firmwareUpdate,The agent updated the camera's firmware to improve sensor sensitivity to low light.,ADT-00161,"[{'closest_other_cluster_name': 'alarmManagement', 'cluster': 18, 'embedding_input': ""sensorStuck:Sensor stuck refers to a situation where a device's sensor fails to switch modes automatically, causing operational issues."", 'prob_cluster_belonging': 0.7681915749862388, 'closest_other_cluster': 10, 'distance_to_other_cluster': 0.5577, 'umap_embedding': 'ComingSoon'}]",1767379675,Hardware & Sensor Issues
695812dbc0cbb5cf7ac67622,CXJ-927,planDowngrade,unusedFeatures,unusedServices,5.8,1.25,Low,1. Low Complexity,15,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,accountSettingsUpdated,The agent updated the account settings to reflect the new plan within 24 hours.,ADT-00070,"[{'closest_other_cluster_name': 'serviceFeeRemoval', 'cluster': 7, 'embedding_input': 'unusedFeatures:Unused features refer to components or services in a plan that the customer does not utilize or need.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 31, 'distance_to_other_cluster': 0.4412, 'umap_embedding': 'ComingSoon'}]",1767379675,"Billing, Refunds & Credits"
695812dbc0cbb5cf7ac67623,CXJ-927,appAccessCancellation,unusedFeatures,unusedServices,,1.25,Low,1. Low Complexity,7,2. Medium AHT,Yes,1,Volume - Potential Transformation Opportunity,featureRemoval,The agent removed the remote access feature from the customer's plan.,ADT-00160,"[{'closest_other_cluster_name': 'serviceFeeRemoval', 'cluster': 7, 'embedding_input': 'unusedFeatures:Unused features refer to components or services within a plan that the customer does not utilize.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 31, 'distance_to_other_cluster': 0.4412, 'umap_embedding': 'ComingSoon'}]",1767379675,"Billing, Refunds & Credits"
695812dbc0cbb5cf7ac67624,CXJ-927,chargeRemoval,optionalService,unusedServices,6.0,1.25,Low,1. Low Complexity,13,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,creditIssued,Agent issued a $9.99 credit to the customer's account to cover the unwanted charge.,ADT-00189,"[{'closest_other_cluster_name': 'serviceFeeRemoval', 'cluster': 7, 'embedding_input': 'optionalService:Optional service refers to additional features or services that can be added to an account, typically for an extra fee, and are not part of the standard package.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 31, 'distance_to_other_cluster': 0.4412, 'umap_embedding': 'ComingSoon'}]",1767379675,"Billing, Refunds & Credits"
695812dbc0cbb5cf7ac67625,CXJ-927,serviceInquiry,pricingRequest,pricingInquiry,6.6,3.66,Low,1. Low Complexity,17,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,emailQuote,Agent emailed the pricing details for the Condo Starter Kit to the customer.,ADT-00077,"[{'closest_other_cluster_name': 'pricingDetails', 'cluster': 25, 'embedding_input': ""pricingRequest:Pricing request refers to the customer's inquiry about the cost of a specific service or product."", 'prob_cluster_belonging': 0.48168200316286575, 'closest_other_cluster': 26, 'distance_to_other_cluster': 0.1833, 'umap_embedding': 'ComingSoon'}]",1767379675,Pricing & Discounts
695812dbc0cbb5cf7ac67626,CXJ-927,quoteProvided,pricingRequest,pricingInquiry,,3.66,Low,1. Low Complexity,13,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,emailQuote,Agent emailed the customer a detailed quote including sensors and cameras.,ADT-00086,"[{'closest_other_cluster_name': 'pricingDetails', 'cluster': 25, 'embedding_input': ""pricingRequest:Pricing request refers to the customer's inquiry about the cost of a product or service."", 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 26, 'distance_to_other_cluster': 0.1833, 'umap_embedding': 'ComingSoon'}]",1767379675,Pricing & Discounts
695812dbc0cbb5cf7ac67627,CXJ-927,quoteProvided,pricingRequest,pricingInquiry,7.2,3.66,Low,1. Low Complexity,5,1. Low AHT,Yes,1,Volume - Potential Transformation Opportunity,emailQuote,The agent sent a detailed quote to the customer's email address.,ADT-00117,"[{'closest_other_cluster_name': 'pricingDetails', 'cluster': 25, 'embedding_input': ""pricingRequest:Pricing request refers to the customer's inquiry about the cost of products or services."", 'prob_cluster_belonging': 0.5945725549088032, 'closest_other_cluster': 26, 'distance_to_other_cluster': 0.1833, 'umap_embedding': 'ComingSoon'}]",1767379675,Pricing & Discounts
695812dbc0cbb5cf7ac67628,CXJ-927,planInquiry,pricingRequest,pricingInquiry,6.8,3.66,Low,1. Low Complexity,15,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,planEnrollment,Agent enrolls the customer in the Essential Starter plan for $28.99 a month.,ADT-00118,"[{'closest_other_cluster_name': 'pricingDetails', 'cluster': 25, 'embedding_input': ""pricingRequest:Pricing request refers to the customer's inquiry about the cost of a service or product."", 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 26, 'distance_to_other_cluster': 0.1833, 'umap_embedding': 'ComingSoon'}]",1767379675,Pricing & Discounts
695812dbc0cbb5cf7ac67629,CXJ-927,quoteProvided,pricingRequest,pricingInquiry,6.8,3.66,Low,1. Low Complexity,5,1. Low AHT,Yes,1,Volume - Potential Transformation Opportunity,installationScheduled,The agent scheduled the installation for the customer's home security system.,ADT-00151,"[{'closest_other_cluster_name': 'pricingDetails', 'cluster': 25, 'embedding_input': ""pricingRequest:Pricing request refers to the customer's inquiry about the cost of a product or service."", 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 26, 'distance_to_other_cluster': 0.1833, 'umap_embedding': 'ComingSoon'}]",1767379675,Pricing & Discounts
695812dbc0cbb5cf7ac6762a,CXJ-927,serviceAvailability,ruralLocation,remoteAreaAccess,5.9,1.38,Low,1. Low Complexity,7,2. Medium AHT,Yes,1,Volume - Potential Transformation Opportunity,DIYSystemOffer,Agent offered a DIY security system as an alternative for rural areas with professional monitoring.,ADT-00078,"[{'closest_other_cluster_name': 'internationalRelocation', 'cluster': 0, 'embedding_input': 'ruralLocation:Rural location refers to areas that are situated outside cities and towns, often characterized by low population density and limited access to services.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 11, 'distance_to_other_cluster': 0.6796, 'umap_embedding': 'ComingSoon'}]",1767379675,Relocation & Coverage
695812dbc0cbb5cf7ac6762b,CXJ-927,installationScheduled,ruralLocation,remoteAreaAccess,,1.38,Low,1. Low Complexity,3,1. Low AHT,Yes,1,Volume - Potential Transformation Opportunity,technicianScheduled,The agent scheduled a technician visit for the customer on Tuesday morning.,ADT-00128,"[{'closest_other_cluster_name': 'internationalRelocation', 'cluster': 0, 'embedding_input': 'ruralLocation:Rural location refers to areas that are situated outside cities and towns, often characterized by low population density and limited infrastructure.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 11, 'distance_to_other_cluster': 0.6796, 'umap_embedding': 'ComingSoon'}]",1767379675,Relocation & Coverage
695812dbc0cbb5cf7ac6762c,CXJ-927,coverageInquiry,remoteLocation,remoteAreaAccess,6.0,1.38,Low,1. Low Complexity,17,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,emailQuote,Agent will email a quote for a basic setup with one outdoor camera.,ADT-00165,"[{'closest_other_cluster_name': 'internationalRelocation', 'cluster': 0, 'embedding_input': 'remoteLocation:Remote location refers to areas that are distant from urban centers, often with challenging access and connectivity.', 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 11, 'distance_to_other_cluster': 0.6796, 'umap_embedding': 'ComingSoon'}]",1767379675,Relocation & Coverage
695812dbc0cbb5cf7ac6762d,CXJ-927,systemPurchase,installationRequest,serviceInstallation,6.5,3.28,Low,1. Low Complexity,4,1. Low AHT,Yes,1,Volume - Potential Transformation Opportunity,appointmentScheduled,The agent scheduled an installation appointment for the customer on Thursday at 2 PM.,ADT-00079,"[{'closest_other_cluster_name': 'systemUpgradeRequest', 'cluster': 29, 'embedding_input': ""installationRequest:Installation request refers to the customer's desire to have a purchased system set up at their location."", 'prob_cluster_belonging': 0.718631348715185, 'closest_other_cluster': 30, 'distance_to_other_cluster': 0.3438, 'umap_embedding': 'ComingSoon'}]",1767379675,Installation & Upgrades
695812dbc0cbb5cf7ac6762e,CXJ-927,thermostatInstallation,installationRequest,serviceInstallation,7.0,3.28,Low,1. Low Complexity,8,2. Medium AHT,Yes,1,Volume - Potential Transformation Opportunity,technicianScheduled,A technician is scheduled to install the smart thermostat next Tuesday at 10 AM.,ADT-00097,"[{'closest_other_cluster_name': 'systemUpgradeRequest', 'cluster': 29, 'embedding_input': ""installationRequest:Installation request refers to the customer's desire to have a new device or system set up and configured by a technician."", 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 30, 'distance_to_other_cluster': 0.3438, 'umap_embedding': 'ComingSoon'}]",1767379675,Installation & Upgrades
695812dbc0cbb5cf7ac6762f,CXJ-927,lockInstallation,installationRequest,serviceInstallation,6.7,3.28,Low,1. Low Complexity,8,2. Medium AHT,Yes,1,Volume - Potential Transformation Opportunity,appointmentScheduled,The agent scheduled an appointment for the installation of the smart lock on Saturday.,ADT-00144,"[{'closest_other_cluster_name': 'systemUpgradeRequest', 'cluster': 29, 'embedding_input': ""installationRequest:Installation request refers to the customer's desire to have a new device or system installed at their location."", 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 30, 'distance_to_other_cluster': 0.3438, 'umap_embedding': 'ComingSoon'}]",1767379675,Installation & Upgrades
695812dbc0cbb5cf7ac67630,CXJ-927,floodlightInstallation,installationRequest,serviceInstallation,6.6,3.28,Low,1. Low Complexity,15,3. High AHT,Yes,1,Volume - Potential Transformation Opportunity,appointmentScheduled,The agent scheduled an installation appointment for the customer on the requested date.,ADT-00195,"[{'closest_other_cluster_name': 'systemUpgradeRequest', 'cluster': 29, 'embedding_input': ""installationRequest:Installation request refers to the customer's desire to have a new device or system professionally installed at their location."", 'prob_cluster_belonging': 1.0, 'closest_other_cluster': 30, 'distance_to_other_cluster': 0.3438, 'umap_embedding': 'ComingSoon'}]",1767379675,Installation & Upgrades
695812dbc0cbb5cf7ac67631,CXJ-927,technicianScheduled,siteSurveyRequest,serviceDisruptionImpact,6.1,1.76,Low,1. Low Complexity,7,2. Medium AHT,Yes,1,Volume - Potential Transformation Opportunity,technicianScheduled,Technician scheduled for a site survey on Friday morning between 8 and 12.,ADT-00080,"[{'closest_other_cluster_name': 'None', 'cluster': -1, 'embedding_input': ""siteSurveyRequest:Site survey request refers to the customer's request for a technician to visit the location to assess signal strength and installation feasibility."", 'prob_cluster_belonging': 0.0, 'closest_other_cluster': None, 'distance_to_other_cluster': None, 'umap_embedding': 'ComingSoon'}]",1767379675,Alarm & Security Settings
695812dbc0cbb5cf7ac67632,CXJ-927,sensorHealth,lowBattery,serviceDisruptionImpact,6.1,1.76,Low,1. Low Complexity,2,1. Low AHT,Yes,1,Volume - Potential Transformation Opportunity,batteryReplacement,Agent will send a replacement battery to the customer for the sensor.,ADT-00082,"[{'closest_other_cluster_name': 'None', 'cluster': -1, 'embedding_input': ""lowBattery:Low battery refers to the condition where a device's battery has significantly depleted, affecting its normal operation."", 'prob_cluster_belonging': 0.0, 'closest_other_cluster': None, 'distance_to_other_cluster': None, 'umap_embedding': 'ComingSoon'}]",1767379675,Alarm & Security Settings
695812dbc0cbb5cf7ac67633,CXJ-927,settingsUpdate,exitDelayChange,serviceDisruptionImpact,6.1,1.76,Low,1. Low Complexity,10,2. Medium AHT,Yes,1,Volume - Potential Transformation Opportunity,delayUpdated,The agent updated the exit delay setting to 90 seconds remotely.,ADT-00083,"[{'closest_other_cluster_name': 'None', 'cluster': -1, 'embedding_input': 'exitDelayChange:Exit delay change refers to the adjustment of the time allowed for a user to exit the premises after arming the alarm system.', 'prob_cluster_belonging': 0.0, 'closest_other_cluster': None, 'distance_to_other_cluster': None, 'umap_embedding': 'ComingSoon'}]",1767379675,Alarm & Security Settings
695812dbc0cbb5cf7ac67634,CXJ-927,sensorAdjustment,doorRattling,serviceDisruptionImpact,6.1,1.76,Low,1. Low Complexity,8,2. Medium AHT,Yes,1,Volume - Potential Transformation Opportunity,sensorRepositioned,The agent guided the customer to reposition the door sensor to prevent false alarms.,ADT-00085,"[{'closest_other_cluster_name': 'None', 'cluster': -1, 'embedding_input': 'doorRattling:Door rattling refers to the movement of a door within its frame, often causing misalignment with security sensors.', 'prob_cluster_belonging': 0.0, 'closest_other_cluster': None, 'distance_to_other_cluster': None, 'umap_embedding': 'ComingSoon'}]",1767379675,Alarm & Security Settings
695812dbc0cbb5cf7ac67635,CXJ-927,securitySystemPurchase,militaryDiscount,serviceDisruptionImpact,6.1,1.76,Low,1. Low Complexity,11,2. Medium AHT,Yes,1,Volume - Potential Transformation Opportunity,installationScheduled,The agent will verify service status and schedule the installation of the security system.,ADT-00087,"[{'closest_other_cluster_name': 'None', 'cluster': -1, 'embedding_input': 'militaryDiscount:Military discount refers to a price reduction offered to active and retired military personnel as a token of appreciation for their service.', 'prob_cluster_belonging': 0.0, 'closest_other_cluster': None, 'distance_to_other_cluster': None, 'umap_embedding': 'ComingSoon'}]",1767379675,Alarm & Security Settings
695812dbc0cbb5cf7ac67636,CXJ-927,cameraIssue,thunderstormDamage,serviceDisruptionImpact,6.1,1.76,Low,1. Low Complexity,6,1. Low AHT,Yes,1,Volume - Potential Transformation Opportunity,cameraReboot,"The agent guided the customer to reboot the camera, restoring its functionality.",ADT-00001,"[{'closest_other_cluster_name': 'None', 'cluster': -1, 'embedding_input': 'thunderstormDamage:Thunderstorm damage refers to the harm caused to electronic devices or systems due to severe weather conditions, such as lightning or heavy rain.', 'prob_cluster_belonging': 0.0, 'closest_other_cluster': None, 'distance_to_other_cluster': None, 'umap_embedding': 'ComingSoon'}]",1767379675,Alarm & Security Settings
695812dbc0cbb5cf7ac67637,CXJ-927,cameraFeed,physicalObstruction,serviceDisruptionImpact,6.1,1.76,Low,1. Low Complexity,5,1. Low AHT,Yes,1,Volume - Potential Transformation Opportunity,sensorReset,The agent reset the camera's IR sensor to resolve the issue and improve the image clarity.,ADT-00002,"[{'closest_other_cluster_name': 'None', 'cluster': -1, 'embedding_input': 'physicalObstruction:Physical obstruction refers to any object or substance that blocks or interferes with the camera lens, causing a blurry or unclear image.', 'prob_cluster_belonging': 0.0, 'closest_other_cluster': None, 'distance_to_other_cluster': None, 'umap_embedding': 'ComingSoon'}]",1767379675,Alarm & Security Settings
695812dcc0cbb5cf7ac67638,CXJ-927,productCompatibility,smartHomeIntegration,serviceDisruptionImpact,6.1,1.76,Low,1. Low Complexity,4,1. Low AHT,Yes,1,Volume - Potential Transformation Opportunity,informationProvided,Agent provided detailed information about ADT's compatibility with Google Home devices.,ADT-00012,"[{'closest_other_cluster_name': 'None', 'cluster': -1, 'embedding_input': 'smartHomeIntegration:Smart home integration refers to the ability of security systems to work seamlessly with smart home devices like Google Home and Amazon Alexa.', 'prob_cluster_belonging': 0.0, 'closest_other_cluster': None, 'distance_to_other_cluster': None, 'umap_embedding': 'ComingSoon'}]",1767379676,Alarm & Security Settings
